                                              Word  Frequency
352                                      landmarks        289
353                                         sunday        289
354                                       november        288
355                                   applications        288
356                                          hours        287
357                                         effect        286
358                                          study        286
359                                         career        285
360                                  architectural        284
361                                       research        284
362                                         common        284
363                                      different        284
364                                        related        282
365                                    significant        282
366                                         grants        281
367                                       policies        280
368                                       complete        279
369                                  approximately        277
370                                   improvements        276
371                                       agencies        276
372                                       election        275
373                                        england        274
374                                         adults        273
375                                        promote        272
376                                          class        271
377                                     strategies        271
378                                   restrictions        271
379                                 infrastructure        271
380                                         senior        271
381                                      completed        271
382                                         person        270
383                                         sector        269
384                                       released        269
385                                    exhibitions        269
386                                         months        267
387                                          chair        266
388                                     renovation        266
389                                        student        265
390                                     facilities        264
391                                       recently        263
392                                         unique        263
393                                   organization        263
394                                      solutions        262
395                                          march        262
396                                        follows        262
397                                        general        262
398                                          apply        261
399                                       ensuring        260
400                                          start        259
401                                         result        259
402                                      celebrate        258
403                                      diversity        258
404                                          tools        257
405                                        already        256
406                                       expected        256
407                                     collection        256
408                                         awards        255
409                                      districts        254
410                                       mattapan        253
411                                      dedicated        253
412                                    residential        253
413                                          plans        252
414                                      challenge        252
415                                  determination        252
416                                         closed        252
417                                        largest        252
418                                      increased        252
419                                       branches        251
420                                         shared        251
421                                       strategy        250
422                                    charlestown        250
423                                       location        250
424                                          ready        249
425                                       feedback        249
426                                          honor        249
427                                          black        249
428                                      officials        248
429                                          reach        248
430                                          girls        247
431                                       citizens        247
432                                         living        246
433                                        january        246
434                                       stopping        245
435                                      ordinance        245
436                                          sites        244
437                                         leader        242
438                                        article        242
439                                        focused        242
440                                        officer        242
441                                         search        240
442                                        changes        239
443                                       approach        238
444                                      immigrant        238
445                                        growing        238
446                                       friendly        237
447                                      improving        236
448                                    demolitions        236
449                                         voting        236
450                                         market        236
451                                        enhance        235
452                               delayapplication        234
453                                      practices        234
454                                         nation        233
455                                          field        233
456                                          force        233
457                                     prevention        232
458                                         dudley        232
459                                       positive        231
460                                        looking        231
461                                      childrens        231
462                                       demolish        231
463                                        shelter        231
464                                         groups        230
465                                          drive        230
466                                        protect        229
467                                     individual        229
468                                         needed        229
469                                     successful        227
